Station,Date,Time,NorthLat,WestLong,Chla,Pheophytin,TotAlkalinity,TotAmmonia,DissAmmonia,DissBromide,DissCalcium,TotChloride,DissChloride,DissNitrateNitrite,DOC,TOC,DON,TON,DissOrthophos,TotPhos,DissSilica,TDS,TSS,VSS,TKN,Depth
D41A,7/22/2021,11:00,,,9,7.59,111,,0.075,N/A,301,,14800,0.323,0.6,0.8,0.21,,0.123,0.34,4.75,27020,322,74,0.767,
NZ002,7/22/2021,13:50,,,3,0.89,108,,0.092,N/A,271,,"13300,13300**",0.29,0.7,0.7,<0.1,,0.112,0.127,4.87,23520,51.1,19.6,0.234,
NZ004,7/22/2021,14:05,,,3,0.53,104,,0.08,N/A,236,,11800,0.286,0.7,0.8,<0.1,,0.112,0.116,5.85,"20900,21100**","24.7,28.2**","7.7,9.9**",0.172,
NZ325,7/22/2021,13:35,,,3.85,1.14,109,,0.085,N/A,279,,13800,0.288,0.7,0.7,<0.1,,0.11,0.147,5.12,24720,55.5,17.7,0.3,
C10A,8/12/2021,11:00,,,1.06,0.57,32.1,,<0.05,N/A,7.86,,3.03,0.151,1.6,1.7,0.12,,<0.05,0.031,11,54,4.6,<2.5,0.372,
C9,8/12/2021,9:30,,,5.4,2.54,72.1,,<0.05,N/A,"18.7,18.7**",,109,0.172,3.9,3.9,0.37,,0.111,0.137,"12,12.3**",328,7.5,<2.5,0.501,
C3A,8/12/2021,7:30,,,0.95,<0.5,59.9,,<0.05,N/A,11.1,,6.59,0.202,1.4,1.4,0.11,,0.121,0.121,17.9,"92,94**",<2.5,<2.5,0.141,
D12,8/13/2021,7:45,,,3.79,1.21,73.2,,<0.05,N/A,51.6,,1790,0.069,"1.8,2**","1.8,1.9**",0.16,,0.082,0.08,10.8,"3560,3560**",10.8,<2.5,0.241,
D16,8/13/2021,10:10,,,9.03,1.78,67.2,,<0.05,1.03,19.4,,285,0.078,2.2,2.2,0.24,,0.075,0.075,13.2,679,8.8,2.6,0.268,
D19,8/13/2021,11:30,,,15.3,2.19,67.3,,<0.05,0.44,15.2,,136,<0.05,2.7,2.8,0.24,,0.078,0.081,12.5,345,4.7,3,0.305,
D28A,8/13/2021,12:15,,,15.5,4.72,69.4,,<0.05,N/A,"15.7,15.7**",,118,0.084,3.2,5.3,0.3,,0.083,0.096,"12.2,12.5**",317,"11.1,11.1**","4.1,4.4**",0.476,
EZ2,8/13/2021,9:30, 38.05285, -121.69022,6.32,1.76,67.2,,"<0.05,<0.05**",N/A,19.4,,305,"0.078,0.078**",2,2.3,0.17,,0.08,0.078,12.8,722,8.4,<2.5,0.244,
EZ6,8/13/2021,8:30, 38.027165, -121.772003,3.74,1.64,72,,<0.05,N/A,40.4,,1290,0.055,2.1,2,0.21,,0.081,0.083,10.7,2600,12.6,3.7,0.24,
D26,8/16/2021,10:45,,,13.9,2.81,64.8,,<0.05,N/A,13.6,,79.1,0.076,2.3,2.3,0.2,,0.07,0.072,14.3,"239,240**",11.2,3.7,0.33,
MD10A,8/16/2021,12:00,,,3.14,1.27,76.6,,<0.05,N/A,17.2,,57.7,<0.05,3.7,3.8,0.24,,0.101,0.1,9.6,213,3,<2.5,0.33,
P8,8/16/2021,13:30,,,5.56,1.2,46.4,,<0.05,N/A,12.6,,37.1,1.14,2.5,2.5,0.24,,0.228,0.231,10.8,152,5.1,<2.5,0.328,
D22,8/17/2021,13:20,,,2.81,1.77,72.2,,<0.05,N/A,"46.6,46.6**",,1500,0.081,"1.8,1.8**","1.8,1.8**",0.24,,0.083,0.097,"11.5,11.8**",3150,32,7,0.271,
D4,8/17/2021,12:30,,,2.91,1.4,"76.7,77.6**",,<0.05,N/A,76.4,,3030,0.104,1.7,1.6,0.25,,0.089,0.1,9.34,6300,22.1,5.3,0.273,
NZ068,8/17/2021,14:45,,,3.08,1.25,65.6,,<0.05,N/A,16.2,,181,0.078,1.8,1.9,0.15,,0.07,0.07,14.1,446,10.5,<2.5,0.216,
EZ2,8/17/2021,14:15, 38.128043, -121.693155,3.62,0.91,65.9,,"<0.05,<0.05**",N/A,17,,212,"0.076,0.077**",1.8,1.9,0.15,,0.073,0.07,14.8,516,7.4,<2.5,0.213,
EZ6,8/17/2021,13:20, 38.08646, -121.747308,3.09,1.7,72.2,,<0.05,N/A,"47.4,47.4**",,1490,0.082,1.8,1.8,0.23,,0.084,0.094,"11.4,11.8**",3070,"26.3,28.2**","4.7,5.1**",0.263,
D10,8/18/2021,13:50,,,3.82,0.92,83.5,,<0.05,N/A,122,,4940,0.143,"1.8,1.9**","1.8,1.8**",0.17,,0.097,0.1,8.57,"9640,9760**",17.7,3.8,0.216,
D6,8/18/2021,12:15,,,4.22,1.23,"98.2,99.3**",,0.068,N/A,236,,"10600,10700**",0.232,1.6,1.6,0.13,,0.11,0.125,6.78,21500,39.6,8.1,0.218,
D8,8/18/2021,13:10,,,4.11,1.01,87.3,,<0.05,N/A,147,,6580,0.169,1.8,1.7,0.14,,0.101,0.1,6.89,12200,"13.6,14**","<2.5,<2.5**",0.211,
D7,8/19/2021,12:40,,,6.76,4.03,91.1,,<0.05,31.25,185,,8330,0.179,1.8,1.9,0.19,,0.1,0.138,6.31,"14500,14700**",71.9,15.6,0.252,
NZ032,8/19/2021,14:30,,,9.04,1.04,94.5,,<0.05,N/A,166,,7010,0.171,"2.3,2.3**","2.4,2.4**",0.22,,0.108,0.118,6.79,12800,35.6,9.6,0.27,
NZS42,8/19/2021,13:40,,,5.92,2.8,103,,<0.05,N/A,163,,6960,0.222,2.8,2.9,0.38,,0.117,0.147,6.66,12500,53.5,11.8,0.39,
D41,8/20/2021,11:40,,,5.74,2.41,114,,0.083,N/A,376,,17100,0.225,1.2,1.4,0.25,,0.115,0.151,3.7,30400,92.7,26.7,0.411,
D41A,8/20/2021,11:00,,,6.23,2.19,109,,0.064,N/A,336,,15000,0.252,1.3,1.3,0.2,,0.116,0.154,5.06,27200,90.7,27.1,0.351,
NZ002,8/20/2021,12:40,,,2.61,2.03,106,,0.085,N/A,294,,13800,0.24,1.5,1.4,0.18,,0.117,0.14,5.98,24000,86.8,22.1,0.363,
NZ004,8/20/2021,12:50,,,2.97,0.64,99.3,,0.067,N/A,229,,10900,0.223,1.6,1.6,0.19,,0.114,0.105,6.1,19500,"22.4,25.9**","6.3,7.1**",0.3,
NZ325,8/20/2021,12:20,,,3.09,0.68,108,,0.077,N/A,306,,14300,0.239,1.4,1.4,0.2,,0.116,0.113,5.63,25300,28.3,8.6,0.319,
C10A,9/9/2021,11:30,,,1.87,0.8,63.7,,<0.05,N/A,16.7,,25.2,0.515,1.9,1.9,0.13,,<0.05,0.036,13.5,148,3,<2.5,0.182,
C9,9/9/2021,8:00,,,2.85,1.95,71.9,,0.05,N/A,"16.4,16.4**",,94.1,0.122,"3.4,3.5**","3.5,3.5**",0.25,,0.095,0.099,"10.6,10.8**",283,7.2,<2.5,0.401,
C3A,9/9/2021,6:15,,,0.72,<0.5,79.6,,<0.05,N/A,13.5,,10.2,0.278,1.8,1.8,0.19,,0.057,0.036,19.1,"121,124**",<2.5,<2.5,0.174,
D26,9/10/2021,7:25,,,2.3,1.57,74,,<0.05,N/A,15,,117,0.094,2.2,2.1,0.24,,0.071,0.062,13.7,"318,319**",10.8,2.5,0.252,
MD10A,9/10/2021,9:05,,,1.97,1.18,"79.8,80**",,<0.05,N/A,"16.6,16.9**",,46.9,<0.05,3.5,3.5,0.24,,0.096,0.082,"10.8,11.2**",191,"2.7,2.9**","<2.5,<2.5**",0.31,
P8,9/10/2021,11:05,,,3.85,1.22,57.5,,0.069,N/A,17.6,,83.2,1.85,3.2,3.1,0.27,,0.361,0.334,11.9,256,"5.5,5.7**","<2.5,<2.5**",0.431,
D12,9/13/2021,8:50,,,2.25,0.93,75.9,,<0.05,N/A,43.9,,1400,0.087,2,1.9,0.22,,0.09,0.078,11.4,2858,9.8,<2.5,0.224,
D16,9/13/2021,10:25,,,1.94,1.01,75,,<0.05,0.795,17.3,,204,0.1,2.1,2.1,0.19,,0.083,0.071,14.6,496,7.5,<2.5,0.187,
D19,9/13/2021,11:45,,,2.42,0.74,75.3,,<0.05,0.52,"15.7,15.8**",,134,0.078,"2.5,2.5**","2.3,2.3**",0.18,,0.079,0.064,"13.5,13.5**",360,"4.9,5.1**","<2.5,<2.5**",0.231,
D28A,9/13/2021,12:35,,,2.87,1.18,74.7,,<0.05,N/A,15,,90.3,0.081,2.6,2.6,0.23,,0.076,0.063,12.7,273,3.9,<2.5,0.263,
EZ2,9/13/2021,9:40, 38.040093, -121.701038,2.23,0.93,75.3,,<0.05,N/A,21.9,,405,0.083,2.1,2,0.21,,0.084,0.071,13.4,913,7.3,<2.5,0.219,
EZ6,9/13/2021,8:50, 38.021758, -121.805465,2.27,0.9,76.6,,<0.05,N/A,44.6,,1440,0.087,1.9,1.9,0.22,,0.089,0.074,11.3,2848,7.7,<2.5,0.222,
D22,9/14/2021,11:50,,,1.23,2.97,"77.4,78.5**",,<0.05,N/A,33.9,,962,0.095,1.8,1.8,0.18,,0.073,0.072,14,1934,7.8,<2.5,0.206,
D4,9/14/2021,10:40,,,2.08,0.93,78.5,,<0.05,N/A,83.2,,3080,0.125,1.6,1.5,0.21,,0.083,0.075,9.96,"5922,5939**",15.5,2.5,0.177,
NZ068,9/14/2021,13:10,,,2.44,<0.5,80.2,,<0.05,N/A,16.4,,161,0.092,1.9,2,0.16,,0.072,0.059,16.6,420,4.2,<2.5,0.16,
EZ2,9/14/2021,12:35, 38.122918, -121.69766,2.06,0.66,79.6,,<0.05,N/A,"19.7,19.8**",,295,0.094,1.9,1.9,0.24,,0.067,0.06,"15.9,16.1**",725,8,<2.5,0.207,
EZ6,9/14/2021,11:40, 38.085075, -121.752023,2.75,0.52,78.5,,"<0.05,<0.05**",N/A,33.4,,952,"0.094,0.094**",1.8,1.7,0.2,,0.075,0.067,13.8,1903,7.6,<2.5,0.21,
D10,9/15/2021,12:55,,,3.16,2,85.4,,<0.05,N/A,124,,5340,0.171,1.2,1.3,0.21,,0.096,0.127,8.29,9800,"38.9,45.3**","8.9,10**",0.265,
D6,9/15/2021,10:55,,,1.87,1.32,99,,0.061,N/A,227,,"10400,10400**",0.21,"0.9,0.9**","0.9,0.9**",0.23,,0.106,0.108,5.18,19480,17.9,5.2,0.322,
D8,9/15/2021,11:50,,,1.2,1.79,87.9,,<0.05,N/A,143,,6130,0.183,1.2,1.2,0.18,,0.096,0.092,7.57,11640,17.6,5.6,0.268,
D7,9/16/2021,10:45,,,2.74,1.32,91.5,,<0.05,25.7,158,,7220,0.184,1.2,1.2,0.21,,0.099,0.111,7.18,13600,36.7,8.5,0.283,
NZ032,9/16/2021,12:50,,,2.78,0.83,89.6,,<0.05,N/A,104,,4420,0.172,"1.8,2**","1.9,1.9**",0.27,,0.092,0.119,8.61,8280,"27.5,29.8**","7.2,7.9**",0.33,
NZS42,9/16/2021,11:45,,,2.42,2,92,,<0.05,N/A,103,,4290,0.191,2.1,2,0.37,,0.1,0.16,8.8,8130,72,16.7,0.389,
D41,9/17/2021,11:20,,,3.84,0.5,"112,112**",,<0.05,N/A,347,,16100,0.172,0.5,0.5,0.21,,0.095,0.101,3.62,30680,13.9,4.7,0.212,
D41A,9/17/2021,9:40,,,4.67,0.99,108,,<0.05,N/A,308,,14800,0.203,0.6,0.6,0.16,,0.102,0.113,4.27,"26840,26860**",33.9,10,0.238,
NZ002,9/17/2021,12:20,,,1.23,2.16,107,,0.053,N/A,284,,13800,0.204,0.7,0.8,0.15,,0.107,0.118,4.48,24140,28.1,8.8,0.264,
NZ004,9/17/2021,12:40,,,N/A,N/A,102,,0.064,N/A,254,,11900,0.21,0.9,0.7,0.17,,0.107,0.117,5,21420,15.8,4.6,0.251,
NZ325,9/17/2021,12:05,,,3.06,0.6,107,,0.05,N/A,287,,13900,0.202,0.7,0.7,0.14,,0.106,0.116,4.38,25140,19.2,5.8,0.249,
