MonitoringLocationIdentifier,LatitudeMeasure,LongitudeMeasure,station
11312676,37.94270170000000,-121.5341175000000,Middle
11313405,37.96992306000000,-121.5721740000000,Old
11337190,38.05214240000000,-121.6888428000000,Jersey
11455385,38.19395556000000,-121.6580028000000,Cache
