StationID,Duration,SensorNumber,SensorType,DateTime,ObsDate,Value,DataFlag,SensorUnits
DTO,D,23,OUTFLOW,2020-11-28T08:00:00Z,2020-11-28T08:00:00Z,4198,,CFS
DTO,D,23,OUTFLOW,2020-11-29T08:00:00Z,2020-11-29T08:00:00Z,4347,,CFS
DTO,D,23,OUTFLOW,2020-11-30T08:00:00Z,2020-11-30T08:00:00Z,3988,,CFS
DTO,D,23,OUTFLOW,2020-12-01T08:00:00Z,2020-12-01T08:00:00Z,4372,,CFS
DTO,D,23,OUTFLOW,2020-12-02T08:00:00Z,2020-12-02T08:00:00Z,4596,,CFS
DTO,D,23,OUTFLOW,2020-12-03T08:00:00Z,2020-12-03T08:00:00Z,4420,,CFS
DTO,D,23,OUTFLOW,2020-12-04T08:00:00Z,2020-12-04T08:00:00Z,4885,,CFS
DTO,D,23,OUTFLOW,2020-12-05T08:00:00Z,2020-12-05T08:00:00Z,4802,,CFS
DTO,D,23,OUTFLOW,2020-12-06T08:00:00Z,2020-12-06T08:00:00Z,4898,,CFS
DTO,D,23,OUTFLOW,2020-12-07T08:00:00Z,2020-12-07T08:00:00Z,5297,,CFS
DTO,D,23,OUTFLOW,2020-12-08T08:00:00Z,2020-12-08T08:00:00Z,5547,,CFS
DTO,D,23,OUTFLOW,2020-12-09T08:00:00Z,2020-12-09T08:00:00Z,5153,,CFS
DTO,D,23,OUTFLOW,2020-12-10T08:00:00Z,2020-12-10T08:00:00Z,5271,,CFS
DTO,D,23,OUTFLOW,2020-12-11T08:00:00Z,2020-12-11T08:00:00Z,5041,,CFS
DTO,D,23,OUTFLOW,2020-12-12T08:00:00Z,2020-12-12T08:00:00Z,7017,,CFS
DTO,D,23,OUTFLOW,2020-12-13T08:00:00Z,2020-12-13T08:00:00Z,7615,,CFS
DTO,D,23,OUTFLOW,2020-12-14T08:00:00Z,2020-12-14T08:00:00Z,12733,,CFS
DTO,D,23,OUTFLOW,2020-12-15T08:00:00Z,2020-12-15T08:00:00Z,13776,,CFS
DTO,D,23,OUTFLOW,2020-12-16T08:00:00Z,2020-12-16T08:00:00Z,14254,,CFS
DTO,D,23,OUTFLOW,2020-12-17T08:00:00Z,2020-12-17T08:00:00Z,12158,,CFS
DTO,D,23,OUTFLOW,2020-12-18T08:00:00Z,2020-12-18T08:00:00Z,13220,,CFS
DTO,D,23,OUTFLOW,2020-12-19T08:00:00Z,2020-12-19T08:00:00Z,9155,,CFS
DTO,D,23,OUTFLOW,2020-12-20T08:00:00Z,2020-12-20T08:00:00Z,9269,,CFS
DTO,D,23,OUTFLOW,2020-12-21T08:00:00Z,2020-12-21T08:00:00Z,8446,,CFS
DTO,D,23,OUTFLOW,2020-12-22T08:00:00Z,2020-12-22T08:00:00Z,7853,,CFS
DTO,D,23,OUTFLOW,2020-12-23T08:00:00Z,2020-12-23T08:00:00Z,5158,,CFS
DTO,D,23,OUTFLOW,2020-12-24T08:00:00Z,2020-12-24T08:00:00Z,4684,,CFS
DTO,D,23,OUTFLOW,2020-12-25T08:00:00Z,2020-12-25T08:00:00Z,4181,,CFS
DTO,D,23,OUTFLOW,2020-12-26T08:00:00Z,2020-12-26T08:00:00Z,3506,,CFS
DTO,D,23,OUTFLOW,2020-12-27T08:00:00Z,2020-12-27T08:00:00Z,3824,,CFS
DTO,D,23,OUTFLOW,2020-12-28T08:00:00Z,2020-12-28T08:00:00Z,3877,,CFS
