Date,Export,Outflow
10/01/22,2449,2740
10/02/22,2450,2171
10/03/22,2445,3288
10/04/22,2452,3125
10/05/22,1562,4849
10/06/22,1542,4528
10/07/22,1532,4154
10/08/22,1516,4237
10/09/22,1531,4247
10/10/22,1516,4329
10/11/22,1541,4278
10/12/22,1501,4073
10/13/22,1506,3765
10/14/22,1498,4079
10/15/22,1528,3929
10/16/22,1525,3474
10/17/22,1500,4996
10/18/22,1517,4913
10/19/22,1516,5362
10/20/22,1494,4789
10/21/22,1508,4004
10/22/22,1485,4810
10/23/22,1476,6131
10/24/22,965,7552
10/25/22,961,6503
10/26/22,959,5976
10/27/22,1450,5403
10/28/22,1542,5147
10/29/22,2097,4920
10/30/22,2075,5682
10/31/22,2087,5895
11/01/22,1562,6229
11/02/22,1551,7413
11/03/22,1504,7644
11/04/22,1520,7208
11/05/22,1591,6658
11/06/22,1586,6188
11/07/22,2083,4356
11/08/22,2054,6306
11/09/22,3173,8880
11/10/22,2947,10519
11/11/22,2944,10370
11/12/22,2939,9846
11/13/22,2936,8123
11/14/22,2941,4904
11/15/22,2471,4795
11/16/22,2460,4545
11/17/22,2435,4481
11/18/22,2422,4151
11/19/22,2346,4379
11/20/22,2413,4075
11/21/22,2400,3690
11/22/22,2452,3415
11/23/22,2487,3123
11/24/22,1862,3782
11/25/22,1841,3760
11/26/22,1847,3624
11/27/22,1360,4132
11/28/22,1344,4237
11/29/22,1315,4141
11/30/22,1307,4903
