STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
DTO,D,23,OUTFLOW,,20210110,"5,469",,CFS
DTO,D,23,OUTFLOW,,20210111,"5,140",,CFS
DTO,D,23,OUTFLOW,,20210112,"6,274",,CFS
DTO,D,23,OUTFLOW,,20210113,"6,225",,CFS
DTO,D,23,OUTFLOW,,20210114,"6,354",,CFS
DTO,D,23,OUTFLOW,,20210115,"6,435",,CFS
DTO,D,23,OUTFLOW,,20210116,"5,960",,CFS
DTO,D,23,OUTFLOW,,20210117,"5,976",,CFS
DTO,D,23,OUTFLOW,,20210118,"6,358",,CFS
DTO,D,23,OUTFLOW,,20210119,"6,629",,CFS
DTO,D,23,OUTFLOW,,20210120,"5,497",,CFS
DTO,D,23,OUTFLOW,,20210121,"4,588",,CFS
DTO,D,23,OUTFLOW,,20210122,"4,666",,CFS
DTO,D,23,OUTFLOW,,20210123,"5,038",,CFS
DTO,D,23,OUTFLOW,,20210124,"5,345",,CFS
DTO,D,23,OUTFLOW,,20210125,"5,613",,CFS
DTO,D,23,OUTFLOW,,20210126,"6,211",,CFS
DTO,D,23,OUTFLOW,,20210127,"6,020",,CFS
DTO,D,23,OUTFLOW,,20210128,"14,010",,CFS
DTO,D,23,OUTFLOW,,20210129,"24,983",,CFS
DTO,D,23,OUTFLOW,,20210130,"27,071",,CFS
DTO,D,23,OUTFLOW,,20210131,"29,327",,CFS
DTO,D,23,OUTFLOW,,20210201,"30,375",,CFS
DTO,D,23,OUTFLOW,,20210202,"21,687",,CFS
DTO,D,23,OUTFLOW,,20210203,"14,269",,CFS
DTO,D,23,OUTFLOW,,20210204,"12,735",,CFS
DTO,D,23,OUTFLOW,,20210205,"13,283",,CFS
DTO,D,23,OUTFLOW,,20210206,"14,483",,CFS
DTO,D,23,OUTFLOW,,20210207,"13,621",,CFS
DTO,D,23,OUTFLOW,,20210208,"9,669",,CFS
DTO,D,23,OUTFLOW,,20210209,"6,503",,CFS
DTO,D,23,OUTFLOW,,20210210,"7,736",,CFS
DTO,D,23,OUTFLOW,,20210211,"7,588",,CFS
DTO,D,23,OUTFLOW,,20210212,"9,638",,CFS
DTO,D,23,OUTFLOW,,20210213,"10,405",,CFS
DTO,D,23,OUTFLOW,,20210214,"10,230",,CFS
DTO,D,23,OUTFLOW,,20210215,"11,127",,CFS
DTO,D,23,OUTFLOW,,20210216,"10,184",,CFS
DTO,D,23,OUTFLOW,,20210217,"9,100",,CFS
DTO,D,23,OUTFLOW,,20210218,"8,494",,CFS
