Year,Month,Outflow,Export,X2
2011,Dec,48138.06451612903,11030.709677419354,71.9216129032258
2011,Jan,39475.77419354839,10768.58064516129,60.48096774193549
2011,Feb,28251,9008,65.58214285714286
2011,Mar,104134.74193548386,6434.258064516129,58.846774193548384
2011,Apr,85043.33333333333,6231.1,50.79
2011,May,47059.12903225807,3569.451612903226,55.79741935483871
2011,Jun,42036.86666666667,10000.2,58.621
2011,Jul,17654.516129032258,11666.741935483871,64.87774193548387
2011,Aug,8863.322580645161,11698,76.21
2011,Sep,12205.8,11616,75.30233333333334
2011,Oct,12077.290322580646,10812.129032258064,74.01516129032258
2011,Nov,8269.4,7222.3,79.48833333333333
2012,Dec,5372.709677419355,9452.451612903225,81.18935483870968
2012,Jan,11417.387096774193,6125.096774193548,81.23612903225806
2012,Feb,10796.862068965518,3923.3793103448274,75.79793103448276
2012,Mar,20114.41935483871,3543.2903225806454,74.42129032258065
2012,Apr,27781.933333333334,2312.9,67.25233333333334
2012,May,12492.806451612903,3398.0967741935483,69.99161290322581
2012,Jun,8305.766666666666,4105.6,77.93033333333334
2012,Jul,7534.709677419355,10353.193548387097,79.36935483870968
2012,Aug,4641.419354838709,11131.516129032258,82.35967741935484
2012,Sep,4886.8,9468.333333333334,86.715
2012,Oct,4476.903225806452,7882.677419354839,86.15741935483871
2012,Nov,6291.7,7153.866666666667,85.32733333333333
2013,Dec,48250.87096774193,7270.322580645161,70.72096774193548
2013,Jan,22289.451612903227,4588.8387096774195,65.00387096774193
2013,Feb,13428.82142857143,4563.107142857143,70.34214285714286
2013,Mar,9626.90322580645,5284.354838709677,75.32774193548387
2013,Apr,12865.7,1893.3333333333333,74.721
2013,May,10067.870967741936,2261.6774193548385,76.2716129032258
2013,Jun,7902.033333333334,3286.9333333333334,78.22233333333334
2013,Jul,5443.548387096775,9270,81.45677419354838
2013,Aug,5083.677419354839,10044.387096774193,83.71000000000001
2013,Sep,5591.766666666666,7019.9,83.734
2013,Oct,4273.5161290322585,3702.8709677419356,85.93129032258065
2013,Nov,5567.966666666666,3876.6,85.68066666666667
2014,Dec,4951.193548387097,2802.967741935484,84.43129032258065
2014,Jan,4780.419354838709,1613.2903225806451,85.39064516129032
2014,Feb,11061.035714285714,2651.4285714285716,80.69571428571429
2014,Mar,12723.129032258064,4383.741935483871,76.66451612903226
2014,Apr,7912.733333333334,3966.6666666666665,79.33733333333333
2014,May,4174.387096774193,1663.8709677419354,84.14516129032258
2014,Jun,5406.033333333334,1156.6,85.04566666666666
2014,Jul,4084.967741935484,1995.516129032258,85.6316129032258
2014,Aug,3418.6129032258063,2380.516129032258,88.12193548387097
2014,Sep,3201.0666666666666,3605.133333333333,89.49266666666666
2014,Oct,4720.612903225807,1290.3870967741937,88.23516129032258
2014,Nov,5433.7,2980.766666666667,84.40433333333333
2015,Dec,33506.93548387097,6492.548387096775,74.1841935483871
2015,Jan,6051.354838709677,5236.741935483871,75.30774193548388
2015,Feb,16257.535714285714,5027.785714285715,76.54928571428572
2015,Mar,5988.741935483871,3204.1612903225805,79.68774193548387
2015,Apr,6818.266666666666,1676.4,81.26733333333334
2015,May,5908.903225806452,1002.2903225806451,82.37354838709678
2015,Jun,4796.466666666666,896.9333333333333,83.925
2015,Jul,4763.580645161291,749.8709677419355,85.38806451612903
2015,Aug,4470.064516129032,1433.4516129032259,85.57451612903226
2015,Sep,4825.733333333334,2289.3,86.105
2015,Oct,4737.580645161291,1519.6129032258063,85.92322580645161
2015,Nov,4769.066666666667,2283.1,85.72266666666667
2016,Dec,9248.612903225807,2445.8064516129034,82.66741935483871
2016,Jan,27636.225806451614,4612,75.15806451612903
2016,Feb,17844.344827586207,5158.448275862069,68.32551724137932
2016,Mar,63654.354838709674,5837.548387096775,64.45451612903226
2016,Apr,20873.9,2059.3333333333335,63.342333333333336
2016,May,12154.129032258064,2370.1612903225805,71.40548387096774
2016,Jun,7049.033333333334,4791.133333333333,77.30133333333333
2016,Jul,8252.032258064517,7254.870967741936,79.48774193548387
2016,Aug,6195.193548387097,9946.258064516129,80.3158064516129
2016,Sep,5189.766666666666,9730.4,83.596
2016,Oct,7614.935483870968,6896.806451612903,83.95645161290322
2016,Nov,8668.966666666667,7684.066666666667,81.106
2017,Dec,35362.45161290323,8560.354838709678,73.74645161290323
2017,Jan,143948.4516129032,11742.258064516129,57.01032258064516
2017,Feb,269002.46428571426,11483.035714285714,44.66571428571429
2017,Mar,124338.6129032258,4695.774193548387,43.84161290322581
2017,Apr,106997.46666666666,5547.1,48.00533333333333
2017,May,65149.32258064516,6774.451612903225,51.16483870967742
2017,Jun,28121.3,11263.866666666667,59.399
2017,Jul,9651.225806451614,11070.290322580646,71.19258064516129
2017,Aug,10235.935483870968,11780.258064516129,76.46903225806452
2017,Sep,12936.733333333334,9845.433333333332,74.53733333333334
2017,Oct,9340.58064516129,5994.387096774193,75.55225806451612
2017,Nov,9046.366666666667,7588.3,78.09366666666666
2018,Dec,6841.129032258064,8457.58064516129,79.92516129032258
2018,Jan,16992,6497,75.60677419354839
2018,Feb,11570.25,4082.214285714286,73.91357142857143
2018,Mar,28192.677419354837,6472.548387096775,71.27129032258064
2018,Apr,41906.1,3977.5333333333333,62.538
2018,May,12687.193548387097,2839.4193548387098,69.69967741935484
2018,Jun,7317.6,3818.1666666666665,76.523
2018,Jul,6651.774193548387,5828.8387096774195,80.5316129032258
2018,Aug,5759.806451612903,10313.90322580645,81.98774193548387
2018,Sep,6078.266666666666,10285.666666666666,82.75566666666667
