YearAdj,Region,SVIndex,YearType,Drought,Temperature,Salinity,Secchi
1975,Suisun Marsh,9.35,Wet,W,NA,NA,NA
1975,Suisun Bay,9.35,Wet,W,14.612553612842985,2.3227651864872567,29.94173035891885
1975,Confluence,9.35,Wet,W,14.783210139590349,0.14281394561173774,40.825659371492705
1975,SouthCentral,9.35,Wet,W,15.402989536394266,0.143348437927609,43.601177743824806
1975,North,9.35,Wet,W,14.041666666666666,0.06750927052631737,48.458333333333336
1976,Suisun Marsh,5.29,Critical,D,NA,NA,NA
1976,Suisun Bay,5.29,Critical,D,16.316362855222735,8.6333182852294,51.79549011136713
1976,Confluence,5.29,Critical,D,16.547580306568264,1.2346710563593004,51.30786567689114
1976,SouthCentral,5.29,Critical,D,16.93409022274154,0.2049447035642618,51.98075885493649
1976,North,5.29,Critical,D,15.875,0.07549248631510846,76.5
1977,Suisun Marsh,3.11,Critical,D,NA,NA,NA
1977,Suisun Bay,3.11,Critical,D,15.864475420771758,13.831305118297086,67.99450687602626
1977,Confluence,3.11,Critical,D,16.483138645552764,3.2304204499084688,46.8784210106807
1977,SouthCentral,3.11,Critical,D,17.188812906805232,0.3898913614734064,49.00248155746877
1977,North,3.11,Critical,D,16.875,0.10034903791743068,82.79166666666667
1978,Suisun Marsh,8.65,Above Normal,N,16.502095238095237,3.6101582511547825,25.40416666666667
1978,Suisun Bay,8.65,Above Normal,N,16.16974967593071,4.884174677860798,31.32047108383315
1978,Confluence,8.65,Above Normal,N,16.60910211426316,0.6928512641677784,32.63813816100374
1978,SouthCentral,8.65,Above Normal,N,17.115670774432786,0.17429975171493853,40.34817054766997
1978,North,8.65,Above Normal,N,15.708333333333334,0.07257277924679725,48.875
1979,Suisun Marsh,6.67,Below Normal,N,15.961964285714286,4.0646229110967544,26.000297619047622
1979,Suisun Bay,6.67,Below Normal,N,16.176783730158732,5.915201160817056,34.65218253968254
1979,Confluence,6.67,Below Normal,N,16.73934148960497,0.6564633979915,37.082774890880586
1979,SouthCentral,6.67,Below Normal,N,16.800708333333333,0.16163919911567662,43.15163690476191
