Date,Outflow,X2
2020-10-01,4647,88.29216423602392
2020-10-02,3932,88.25090491492153
2020-10-03,4077,88.18852850667149
2020-10-04,3684,88.19504216159716
2020-10-05,3446,88.24432703159175
2020-10-06,3883,88.21379713511223
2020-10-07,4427,88.1002734334985
2020-10-08,3690,88.11059018817755
2020-10-09,4300,88.02154013438094
2020-10-10,4319,87.93454060257136
2020-10-11,3913,87.91607872560161
2020-10-12,4517,87.80593231102871
2020-10-13,3568,87.85415028836015
2020-10-14,3829,87.85412408274131
2020-10-15,4240,87.78825422943713
2020-10-16,3944,87.77274206719582
2020-10-17,3809,87.78057533715321
2020-10-18,3931,87.7676176674493
2020-10-19,4539,87.66249890400097
2020-10-20,4774,87.53056331366552
2020-10-21,4941,87.38367964368034
2020-10-22,4406,87.31888310246238
2020-10-23,4401,87.25838364677384
2020-10-24,4156,87.23820201987907
2020-10-25,4373,87.1862618259739
2020-10-26,6418,86.88941405267197
2020-10-27,6015,86.650772895473
2020-10-28,4586,86.60042795328621
2020-10-29,4696,86.53754474864324
2020-10-30,5282,86.40217857132082
2020-10-31,4950,86.31618081908394
2020-11-01,5842,86.12791384526231
2020-11-02,6572,85.87396231984027
2020-11-03,5761,85.7190340517872
2020-11-04,5467,85.60645430606215
2020-11-05,5214,85.53066600232907
2020-11-06,4930,85.49521600323573
2020-11-07,4662,85.49781215878032
2020-11-08,6060,85.33089569791213
2020-11-09,6563,85.12166515939691
2020-11-10,6170,84.96381953671265
2020-11-11,4496,85.01905675028523
2020-11-12,4702,85.04232436595841
2020-11-13,3903,85.18458688007547
2020-11-14,4585,85.21502300308232
2020-11-15,4982,85.19015740151366
2020-11-16,4912,85.17579756588646
2020-11-17,4476,85.22225515399036
2020-11-18,4390,85.27868637892085
2020-11-19,5471,85.1898534232061
2020-11-20,6127,85.03277388687614
2020-11-21,5689,84.93223288958526
2020-11-22,5277,84.88577047161668
2020-11-23,4726,84.91308093805807
2020-11-24,4602,84.95605987095226
2020-11-25,4407,85.02463586194163
2020-11-26,4461,85.08157517357455
2020-11-27,4631,85.11123013969002
2020-11-28,4198,85.20264838228269
2020-11-29,4347,85.26651472629337
2020-11-30,3988,85.3825335088331
2020-12-01,4372,85.43280277792338
2020-12-02,4596,85.44803953537343
2020-12-03,4420,85.48765444640578
2020-12-04,4885,85.46049183915598
2020-12-05,4802,85.44589004244526
2020-12-06,4898,85.41930816307797
2020-12-07,5297,85.34361364435344
2020-12-08,5547,85.24230040125217
2020-12-09,5153,85.19414044734367
2020-12-10,5271,85.13400780762812
2020-12-11,5041,85.10599504911804
2020-12-12,7017,84.86593807581819
2020-12-13,7615,84.58626832893984
2020-12-14,12733,83.98999156183953
2020-12-15,13776,83.3756659255174
2020-12-16,14254,82.77310034573053
2020-12-17,12158,82.30638982595033
2020-12-18,13220,81.81126721171556
2020-12-19,9155,81.58066155064691
2020-12-20,9269,81.35474726959133
2020-12-21,8446,81.20130601813263
2020-12-22,7853,81.10331625372372
2020-12-23,5158,81.28217411045745
2020-12-24,4684,81.513447224305
2020-12-25,4181,81.80536401782075
2020-12-26,3506,82.19493368405679
2020-12-27,3824,82.50700823851442
2020-12-28,3877,82.7930295292984
2020-12-29,4894,82.91288258920852
2020-12-30,5939,82.90116233211512
2020-12-31,5990,82.88456471895587
2021-01-01,6060,82.86137686727801
2021-01-02,6092,82.83606317621235
2021-01-03,6035,82.81821259443824
2021-01-04,5399,82.8732609837944
2021-01-05,5357,82.93032514152925
2021-01-06,5773,82.93595314274467
2021-01-07,5367,82.98836483770188
2021-01-08,5095,83.07148136356305
2021-01-09,5339,83.11981698625137
2021-01-10,5469,83.14995796994944
2021-01-11,5140,83.21850812365624
2021-01-12,6274,83.15454148399925
2021-01-13,6225,83.0991564803526
2021-01-14,6354,83.0335716719329
2021-01-15,6435,82.9634135342821
2021-01-16,5960,82.94663460166284
2021-01-17,5976,82.92904715301486
2021-01-18,6358,82.87241194103743
2021-01-19,6629,82.79193608000129
2021-01-20,5497,82.83681262473317
2021-01-21,4588,82.99595392084898
2021-01-22,4666,83.13545563506362
2021-01-23,5038,83.21774768651308
2021-01-24,5345,83.25731331966173
2021-01-25,5613,83.26310805929968
2021-01-26,6211,83.20320592205006
2021-01-27,6020,83.16676961383692
2021-01-28,14010,82.58684377790593
2021-01-29,24983,81.66526986780983
2021-01-30,27071,80.74254613267394
2021-01-31,29327,79.81887911591683
2021-02-01,30375,78.92333904635774
2021-02-02,21687,78.29462677284117
2021-02-03,14269,77.97083910939284
2021-02-04,12735,77.73830952076767
2021-02-05,13283,77.49136108840186
2021-02-06,14483,77.2021395934186
2021-02-07,13621,76.96845314329056
2021-02-08,9669,76.96892584034458
2021-02-09,6503,77.22553476691589
2021-02-10,7736,77.35590637711707
2021-02-11,7588,77.49158219823948
2021-02-12,9638,77.46535662437407
2021-02-13,10405,77.39112303031114
2021-02-14,10230,77.33192619631403
2021-02-15,11127,77.22170603858898
2021-02-16,10184,77.17473755957657
2021-02-17,9100,77.2030324434184
2021-02-18,8494,77.2742757333849
2021-02-19,8103,77.37203420559385
2021-02-20,7301,77.53172277215472
2021-02-21,6687,77.73935904208795
2021-02-22,7418,77.86857778006113
2021-02-23,7348,77.99681247962634
2021-02-24,7268,78.12506380923517
2021-02-25,7572,78.21979912965838
2021-02-26,6685,78.38978437848094
2021-02-27,7322,78.4916418372653
2021-02-28,7874,78.54095896087028
2021-03-01,6933,78.66975639332684
2021-03-02,7265,78.76126242678504
2021-03-03,7142,78.85876288252284
2021-03-04,7065,78.9579011328676
